# Format: Theme;Difficulte(1-3);Question;Reponses(séparées par |)
# --- GEOGRAPHIE ---
Sci;1;Combien de pattes a une araignée ?;8|HUIT
Sci;1;Quel astre nous éclaire le jour ?;SOLEIL|LE SOLEIL
Sci;1;Quel organe pompe le sang dans le corps ?;COEUR
Sci;2;Quelle planète est surnommée la planète rouge ?;MARS
Sci;2;A quelle température l'eau bout-elle (en degrés Celsius) ?;100|CENT
Sci;2;Quel est le minerai naturel le plus dur ?;DIAMANT
Sci;2;Quel est le plus grand mammifère marin ?;BALEINE|BALEINE BLEUE
Sci;3;Qui a formulé la théorie de la relativité générale ?;EINSTEIN|ALBERT EINSTEIN
Sci;3;Quel gaz les plantes absorbent-elles principalement ?;CO2|DIOXYDE DE CARBONE
Sci;3;Quel est le symbole chimique de l'Or ?;AU
Sci;3;Quelle est la vitesse de la lumière (en km/s environ) ?;300000

# --- CULTURE ---
Cult;1;Combien de lettres compte l'alphabet français ?;26|VINGT-SIX
Cult;1;Quelle est la couleur du cheval blanc d'Henri IV ?;BLANC
Cult;1;Qui a écrit la saga Harry Potter ?;ROWLING|JK ROWLING
Cult;2;Qui a peint la Joconde ?;LEONARD DE VINCI|DA VINCI|VINCI
Cult;2;Quel est le livre le plus vendu au monde ?;LA BIBLE|BIBLE
Cult;2;Quel dieu grec règne sur la mer ?;POSEIDON
Cult;2;Dans quel musée se trouve la Joconde ?;LOUVRE
Cult;3;Dans quelle ville se déroule le festival de cinéma le plus célèbre de France ?;CANNES
Cult;3;Qui a écrit "Les Misérables" ?;VICTOR HUGO|HUGO
Cult;3;Qui a écrit "L'Étranger" ?;CAMUS|ALBERT CAMUS
Cult;3;Quel peintre s'est coupé l'oreille ?;VAN GOGH

# --- CINEMA & TV ---
Cine;1;Qui est le père de Luke Skywalker ?;DARTH VADOR|VADOR|ANAKIN
Cine;1;Quel super-héros est un homme chauve-souris ?;BATMAN
Cine;1;Quel est le prénom de l'ogre vert de Dreamworks ?;SHREK
Cine;2;Quel film met en scène un paquebot qui coule ?;TITANIC
Cine;2;Quel acteur joue Jack Sparrow ?;JOHNNY DEPP|DEPP
Cine;2;Dans quelle ville habite Batman ?;GOTHAM|GOTHAM CITY
Cine;3;Qui a réalisé le film "Pulp Fiction" ?;TARANTINO|QUENTIN TARANTINO
Cine;3;Quel est le premier long-métrage de Disney ?;BLANCHE NEIGE|BLANCHE-NEIGE

# --- VRAI OU FAUX ---
Geo;1;Vrai ou Faux : L'Afrique est un pays.;FAUX
Sci;1;Vrai ou Faux : La Terre est plate.;FAUX
Sci;1;Vrai ou Faux : Les dauphins sont des mammifères.;VRAI
Hist;2;Vrai ou Faux : Cléopâtre était égyptienne (d'origine grecque).;VRAI
Cult;2;Vrai ou Faux : Le piano est un instrument à cordes.;VRAI
Sci;1;Vrai ou Faux : Les tomates sont des fruits.;VRAI
Geo;3;Vrai ou Faux : L'Everest est en Europe.;FAUX
Hist;2;Vrai ou Faux : Napoléon est mort à Paris.;FAUX
Sport;2;Vrai ou Faux : Le marathon fait plus de 40km.;VRAI

# --- INFORMATIQUE ---
Info;1;Quel langage de programmation a été créé par Dennis Ritchie ?;C|LE C
Info;1;Quel animal est la mascotte de Linux ?;MANCHOT|PINGOUIN|TUX
Info;2;Que signifie CPU ?;PROCESSUR|CENTRAL PROCESSING UNIT
Info;2;Qui a co-fondé Microsoft ?;BILL GATES|GATES
Info;3;Quel est l'ancêtre d'Internet ?;ARPANET
Info;3;Que signifie le S dans HTTPS ?;SECURE|SECURITE

# --- MUSIQUE & BD ---
Musi;1;Combien de cordes a une guitare standard ?;6|SIX
Musi;2;Qui est surnommé le Roi de la Pop ?;MICHAEL JACKSON|JACKSON
Musi;3;Combien de touches a un piano standard ?;88
BD;1;Quel est le nom du chien de Tintin ?;MILOU
BD;2;Quel gaulois est tombé dans la marmite quand il était petit ?;OBELIX
BD;3;Qui est le créateur de Dragon Ball ?;TORIYAMA|AKIRA TORIYAMA
